"","ID","livebirths","ALB","AFB","ALBna","age","agesq","year","wealth","wealthz","mobility","subsist","population","edu","contra","propag","proppast","propcult","propHG","proplab","propfish","propagz","proppastz","propcultz","propHGz","proplabz","propfishz","unitpropcult","unitpropHG","unitproplab","unitpropag","unitproppast","unitpropfish","unitpropcultz","unitpropHGz","unitproplabz","unitpropagz","unitproppastz","unitpropfishz","residence","income","market","occ1","occ2","partocc","land","livestock","dietpropmarket","dietpropHG","dietpropfarm","dietpropfish","dietproppast","urban","residencesub","agediff","ageissue","age1","agediff1","ageissue2","propagmax","propcultmax","propfishmax","proppastmax","propHGmax","proplabmax","propfarmmax","occmax","subred","dietprop"
"1","A541031",0,NA,NA,NA,17,289,2014,0.17,-1.60174421930415,1,"HG","Agta",0,"0",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,"village",0,"low",NA,NA,NA,0,0,NA,NA,NA,NA,0,"transition","farm",NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,"HG",NA
"2","A54431",1,19.33,19.33,NA,24.33,591.9489,2014,0.32,-1.48013586130667,1,"HG","Agta",0,"0",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,"village",0,"low",NA,NA,NA,0,0,NA,NA,NA,NA,0,"transition","farm",5,0,24.33,5,0,0,NA,NA,0,NA,NA,NA,NA,"HG",NA
"3","A54434",3,23.666666667,14,NA,26,676,2014,NA,NA,0,"HG","Agta",0,"0",0,0,0.166666666666667,0.5,0.333333333333333,0,0,0,0.303970842277291,0.844337751119093,0.17723597456289,-1.02502484077961,0.0833333333333333,0.25,0.284313725490196,0,0,0.382352941176471,-0.0965767799702532,0.103415280817196,0.255772982046918,0,0,-0.232603288598581,"village",0,"low",NA,NA,NA,0,0,NA,NA,NA,NA,0,"transition","farm",2.333333333,0,26,2.333333333,0,0,0.166666666666667,0,0,0.5,0.333333333333333,0.166666666666667,NA,"HG",NA
"4","A54439",2,19.166666667,17.333333333,NA,20,400,2014,0.43,-1.39095639877518,0,"HG","Agta",0,"0",0,0,0.25,0,0.75,0,0,0,0.695550677710401,-0.710686284614282,1.40932678989891,-1.02502484077961,0.196428571428571,0.0357142857142857,0.660714285714286,0,0,0.107142857142857,0.465093535352398,-0.634588261214507,1.61267699026518,0,0,-1.01775385018451,"village",0,"low",NA,NA,NA,0,0,NA,NA,NA,NA,0,"transition","farm",0.833333332999999,0,20,0.833333332999999,0,0,0.25,0,0,0,0.75,0.25,NA,"HG",NA
"5","A54446",0,NA,NA,NA,54,2916,2014,1,-0.928844638384757,0,"HG","Agta",0,"0",0,0,0,0.333333333333333,0.666666666666667,0,0,0,-0.479188828588927,0.325996405874635,1.16290862683171,-1.02502484077961,0,0.333333333333333,0.666666666666667,0,0,0,-0.510439117576417,0.390416658273969,1.63413500713933,0,0,-1.32342315278667,"village",0,"low",NA,NA,NA,0,0,NA,NA,NA,NA,0,"transition","farm",NA,NA,NA,NA,0,0,0,0,0,0.333333333333333,0.666666666666667,0,NA,"HG",NA
"6","A54450",4,24.16,17.743333333,NA,24.16,583.7056,2014,0.54,-1.3017769362437,0,"HG","Agta",0,"0",0,0,0.125,0.125,0.625,0.125,0,0,0.108180924560737,-0.321930275680938,1.0396995452981,-0.701561674652228,0.0625,0.244318181818182,0.630681818181818,0,0,0.0625,-0.200042364371794,0.0838470050815067,1.50441154149106,0,0,-1.14511605960208,"village",0,"low",NA,NA,NA,0,0,NA,NA,NA,NA,0,"transition","farm",0,0,24.16,0,0,0,0.125,0.125,0,0.125,0.625,0.125,NA,"HG",NA
"7","A54453",1,21.25,21.25,NA,22.25,495.0625,2014,NA,NA,1,"HG","Agta",0,"0",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,"village",0,"low",NA,NA,NA,0,0,NA,NA,NA,NA,0,"transition","farm",1,0,22.25,1,0,0,NA,NA,0,NA,NA,NA,NA,"HG",NA
"8","A54462",12,48.416666667,24.58333333,48.416666667,51,2601,2014,0.68,-1.18827580211272,0,"HG","Agta",0,"0",0,0,0.285714285714286,0.0714285714285714,0.5,0.142857142857143,0,0,0.863370607181733,-0.488539993795228,0.670072300697298,-0.655352650919745,0.30952380952381,0.119047619047619,0.333333333333333,0,0,0.238095238095238,1.02676385067505,-0.347586883757734,0.432486062186971,0,0,-0.644158035892988,"village",0,"low",NA,NA,NA,0,0,NA,NA,NA,NA,0,"transition","farm",2.583333333,0,51,2.583333333,0,0,0.285714285714286,0.142857142857143,0,0.0714285714285714,0.5,0.285714285714286,NA,"HG",NA
"9","A58619",10,42.75,24.33333333,NA,43,1849,2014,4.57,1.96543428195528,1,"HG","Agta",0,"0",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0.444444444444444,0.333333333333333,0,0,0,0.222222222222222,1.69682668298979,0.390416658273969,-0.769162882765386,0,0,-0.689442377019233,"village",0,"low",NA,NA,NA,9.884,0,0,0.555555555555556,0.333333333333333,0.111111111111111,0,"transition","farm",0.25,0,43,0.25,0,0,0.444444444444444,0.222222222222222,0,0.333333333333333,0,0.444444444444444,NA,"HG",1
"10","A58620",0,NA,NA,NA,19,361,2014,4.57,1.96543428195528,1,"HG","Agta",0,"0",0,0,0,0,0,1,0,0,-0.479188828588927,-0.710686284614282,-0.808436677705925,1.56268048823946,0,0,0,0,0,1,-0.510439117576417,-0.757588851553124,-0.769162882765386,0,0,1.52949033816679,"village",0,"low",NA,NA,NA,9.884,0,0,0.555555555555556,0.333333333333333,0.111111111111111,0,"transition","farm",NA,NA,NA,NA,0,0,0,1,0,0,0,0,NA,"HG",1
